Coin,Date,Min,Max,Average,StandardDeviation
etc,2019-11-16,4.11,4.21,4.162723404255342,0.020572344716498846
etc,2019-11-17,4.16,4.24,4.203642105263176,0.017204599011508358
etc,2019-11-18,3.85,4.2,4.0949052631578775,0.08272046442965243
etc,2019-11-19,3.87,4.06,3.9443459915612205,0.04366750226397902
etc,2019-11-20,3.89,4,3.9527789473684547,0.025535601132688414
etc,2019-11-21,3.69,3.97,3.8523779193205883,0.08608908547376441
etc,2019-11-22,3.23,3.82,3.622938689217749,0.14127937941751698
etc,2019-11-23,3.46,3.68,3.53420940170939,0.05938803799509524
etc,2019-11-24,3.41,3.63,3.5358403361344686,0.057587417392202626
etc,2019-11-25,3.22,3.6,3.4028967254408027,0.10379412831369855
etc,2019-11-26,3.42,3.56,3.485911016949159,0.024983395448144364
etc,2019-11-27,3.36,3.67,3.5136764705882353,0.0765411156669626
etc,2019-11-28,3.55,3.65,3.597547568710367,0.02269175650600397
etc,2019-11-29,3.56,3.75,3.6536730360934393,0.05226800216210517
etc,2019-11-30,3.53,3.72,3.6311040339702454,0.049439016506741346
etc,2019-12-01,3.47,3.62,3.536757894736817,0.03468981825124916
etc,2019-12-02,3.44,3.6,3.5034736842105394,0.04165948229843859
etc,2019-12-03,3.45,3.52,3.484336842105276,0.016187461376545698
etc,2019-12-04,3.35,3.47,3.406717062635004,0.03626784018306978
etc,2019-12-05,3.37,3.43,3.3968789808917412,0.01545571730017536
etc,2019-12-06,3.39,3.53,3.451471215351811,0.04404603284516332
etc,2019-12-07,3.48,3.56,3.518793103448266,0.020850666590427745
etc,2019-12-08,3.45,3.56,3.507718550106597,0.031039518404799633
etc,2019-12-09,3.41,3.54,3.5007218683651855,0.039614773583926455
etc,2019-12-10,3.37,3.44,3.39849576271189,0.01623659757121095
etc,2019-12-11,3.37,3.43,3.4051572327044233,0.013820745773137761
etc,2019-12-12,3.35,3.46,3.3926059322034097,0.032275781423597015
etc,2019-12-13,3.4,3.49,3.4506595744681063,0.02268636913434476
etc,2019-12-14,3.37,3.48,3.4343312101911145,0.029118847589617136
etc,2019-12-15,3.38,3.46,3.4178936170213023,0.015313370659646374
