,City,State,Country,Update,Latitude,Longitude,Confirmed,Deaths,Recovered
195,,,Australia,2020-02-01 18:12:49,,,4.0,0.0,0.0
196,,,Canada,2020-02-07 05:43:03,,,4.0,0.0,0.0
197,,,India,2020-02-03 21:43:02,,,3.0,0.0,0.0
198,,,Italy,2020-02-07 17:53:02,,,3.0,0.0,0.0
199,,,Philippines,2020-02-07 16:43:04,,,3.0,1.0,0.0
200,,,UK,2020-02-07 18:33:02,,,3.0,0.0,0.0
201,,,Australia,2020-02-02 22:33:07,,,2.0,0.0,0.0
202,,,Canada,2020-02-04 00:13:06,,,2.0,0.0,0.0
203,,,Russia,2020-01-31 16:13:45,,,2.0,0.0,0.0
204,,,US,2020-02-01 19:43:03,,,2.0,0.0,0.0
205,,,US,2020-02-03 03:53:02,,,2.0,0.0,0.0
206,,,US,2020-02-03 00:43:02,,,2.0,0.0,0.0
207,,,Belgium,2020-02-04 15:43:02,,,1.0,0.0,0.0
208,,,Cambodia,2020-01-31 08:15:53,,,1.0,0.0,0.0
209,,,Canada,2020-02-04 00:03:11,,,1.0,0.0,0.0
210,,,Finland,2020-01-31 08:15:53,,,1.0,0.0,0.0
211,,,Mainland China,2020-02-01 01:52:40,,,1.0,0.0,0.0
212,,,Nepal,2020-01-31 08:15:53,,,1.0,0.0,0.0
213,,,Spain,2020-02-01 23:43:02,,,1.0,0.0,0.0
214,,,Sri Lanka,2020-02-08 03:43:03,,,1.0,0.0,1.0
215,,,Sweden,2020-02-01 02:13:26,,,1.0,0.0,0.0
216,,,US,2020-02-01 19:43:03,,,1.0,0.0,0.0
217,,,US,2020-02-01 19:53:03,,,1.0,0.0,0.0
218,,,US,2020-02-05 21:53:02,,,1.0,0.0,0.0
219,,,US,2020-02-01 19:53:03,,,1.0,0.0,0.0
220,,,US,2020-02-01 19:43:03,,,1.0,0.0,0.0
221,,,US,2020-02-01 19:43:03,,,1.0,0.0,0.0
222,,,Mainland China,2020-02-04 23:43:01,,,16678.0,479.0,522.0
223,,,Mainland China,2020-02-04 13:03:07,,,829.0,0.0,62.0
224,,,Mainland China,2020-02-04 13:03:07,,,813.0,0.0,30.0
225,,,Mainland China,2020-02-04 11:53:02,,,675.0,2.0,27.0
226,,,Mainland China,2020-02-04 14:03:03,,,593.0,0.0,31.0
227,,,Mainland China,2020-02-04 05:33:01,,,480.0,0.0,20.0
228,,,Mainland China,2020-02-04 14:43:02,,,476.0,0.0,20.0
229,,,Mainland China,2020-02-04 23:43:01,,,366.0,2.0,9.0
230,,,Mainland China,2020-02-04 11:53:02,,,308.0,0.0,12.0
231,,,Mainland China,2020-02-04 01:43:02,,,282.0,1.0,14.0
232,,,Mainland China,2020-02-04 12:03:04,,,275.0,0.0,11.0
233,,,Mainland China,2020-02-04 08:33:01,,,228.0,1.0,23.0
234,,,Mainland China,2020-02-04 06:33:02,,,219.0,1.0,12.0
235,,,Mainland China,2020-02-04 12:13:11,,,194.0,0.0,3.0
236,,,Mainland China,2020-02-04 07:43:01,,,155.0,2.0,4.0
237,,,Mainland China,2020-02-04 12:33:02,,,142.0,0.0,2.0
238,,,Mainland China,2020-02-04 05:53:01,,,139.0,0.0,10.0
239,,,Mainland China,2020-02-04 08:53:01,,,126.0,1.0,4.0
240,,,Mainland China,2020-02-04 23:23:02,,,122.0,0.0,5.0
241,,,Mainland China,2020-02-04 14:13:08,,,81.0,0.0,2.0
242,,,Mainland China,2020-02-04 23:23:02,,,81.0,0.0,4.0
243,,,Mainland China,2020-02-04 11:33:03,,,80.0,1.0,5.0
244,,,Mainland China,2020-02-04 13:33:02,,,67.0,0.0,2.0
245,,,Mainland China,2020-02-04 10:43:02,,,58.0,0.0,2.0
246,,,Mainland China,2020-02-04 15:43:02,,,57.0,0.0,4.0
247,,,Mainland China,2020-02-04 00:23:05,,,42.0,0.0,1.0
248,,,Mainland China,2020-02-04 03:03:07,,,35.0,0.0,1.0
249,,,Mainland China,2020-02-04 02:13:18,,,34.0,0.0,1.0
250,,,Mainland China,2020-02-04 01:33:01,,,29.0,0.0,0.0
251,,,Thailand,2020-02-04 15:33:03,,,25.0,0.0,5.0
252,,,Singapore,2020-02-04 15:33:03,,,24.0,0.0,0.0
253,,,Japan,2020-02-04 16:43:03,,,22.0,0.0,1.0
254,,,Hong Kong,2020-02-04 09:03:02,,,17.0,1.0,0.0
255,,,South Korea,2020-02-04 15:33:03,,,16.0,0.0,0.0
256,,,Mainland China,2020-02-04 01:33:01,,,15.0,0.0,0.0
257,,,Germany,2020-02-03 20:53:02,,,12.0,0.0,0.0
258,,,Taiwan,2020-02-04 14:53:02,,,11.0,0.0,0.0
259,,,Macau,2020-02-04 04:43:02,,,10.0,0.0,0.0
260,,,Malaysia,2020-02-04 07:33:02,,,10.0,0.0,0.0
261,,,Vietnam,2020-02-03 21:43:02,,,8.0,0.0,1.0
262,,,France,2020-02-01 01:52:40,,,6.0,0.0,0.0
263,,,United Arab Emirates,2020-02-02 05:43:01,,,5.0,0.0,0.0
264,,,Australia,2020-02-01 18:12:49,,,4.0,0.0,2.0
265,,,Australia,2020-02-01 18:12:49,,,4.0,0.0,0.0
266,,,Australia,2020-02-04 16:53:03,,,3.0,0.0,0.0
267,,,India,2020-02-03 21:43:02,,,3.0,0.0,0.0
268,,,Australia,2020-02-02 22:33:07,,,2.0,0.0,0.0
269,,,Canada,2020-02-04 00:13:06,,,2.0,0.0,0.0
270,,,Italy,2020-01-31 08:15:53,,,2.0,0.0,0.0
271,,,Philippines,2020-02-02 03:33:07,,,2.0,1.0,0.0
272,,,Russia,2020-01-31 16:13:45,,,2.0,0.0,0.0
273,,,UK,2020-02-01 01:52:40,,,2.0,0.0,0.0
